Ix,t,l,g.300.41N.0W,g.300.42N.0W,g.300.41N.1E,g.300.42N.1E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.0W,g.500.42N.0W,g.500.41N.1E,g.500.42N.1E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.0W,g.700.42N.0W,g.700.41N.1E,g.700.42N.1E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,86,93905.734,93725.266,93983.13,93823.734,93651.125,94639.67,90487.75,94264.75,57216.83,57036.824,57293.65,57129.57,57026.117,58025.58,55176.42,57657.406,30892.008,30759.744,30938.268,30818.734,30739.977,31557.982,29694.701,31316.43,-Inf,0
0,1,87,93491.54,93218.53,93650.164,93429.08,93440.58,94568.6,90522.62,93531.195,57023.977,56828.18,57123.15,56940.734,56955.457,57976.195,55287.24,57036.426,30738.527,30625.307,30815.836,30682.02,30702.305,31539.56,29803.574,30756.742,-Inf,0
0,1,88,93807.45,93485.98,93955.92,93688.48,93776.414,94698.875,91649.49,93577.37,57399.51,57181.766,57528.39,57332.06,57355.348,58114.58,55853.883,57097.316,31186.34,31078.293,31306.08,31178.268,31178.06,31766.312,30181.53,30890.766,-Inf,0
0,1,89,94242.53,93920.484,94234.1,93887.15,93030.02,94864.016,93746.15,94744.47,57763.266,57571.35,57776.516,57584.6,57021.3,58235.293,57147.24,57959.734,31578.164,31420.646,31645.434,31470.428,31197.621,31946.39,31014.646,31598.344,-Inf,0
0,1,90,94615.16,94442.54,94610.17,94444.07,93795.57,94842.17,93832.55,94872.06,57889.605,57768.62,57887.73,57759.117,57264.207,58207.188,57306.9,58294.984,31551.049,31451.799,31547.322,31446.312,31085.332,31893.299,31162.02,31955.084,-Inf,0
0,1,91,93754.766,93568.17,93721.81,93522.19,92475.2,94216.28,93657.83,94640.25,57240.117,57130.105,57204.117,57075.637,56279.6,57717.63,57236.906,57964.15,31065.668,30962.691,31032.137,30928.229,30302.41,31420.646,31113.17,31542.664,-Inf,0
0,1,92,93391.336,93253.21,93368.16,93220.836,92134.766,93895.77,92614.29,94280.84,56934.71,56821.49,56894.965,56782.68,56016.49,57392.688,56319.22,57610.43,30755.707,30689.473,30726.521,30661.736,30084.764,31134.8,30371.543,31156.223,-Inf,0
0,2,1,89128.69,88934.42,89249.38,89006.45,88829.82,92349.72,89204.93,91921.34,54285.637,54163.98,54330.74,54215.91,53968.99,56216.434,54291.39,55772.914,29051.184,28911.469,29035.04,28900.291,28766.06,30269.809,29229.088,29975.477,0,0
0,2,2,89978.53,89679.67,89974.7,89615.68,88973.31,92926.76,90487.18,91545.66,54998.293,54911.3,54973.133,54864.06,54428.836,56530.54,55498.56,55779.875,29780.29,29698.012,29743.238,29675.244,29306.707,30549.445,30181.219,30131.232,0,0
0,2,3,90668.6,90666.12,90523.195,90512.85,90170.88,92769.664,92083.42,90883.37,55455.863,55433.918,55362.184,55339.7,55013.95,56410.223,56268.63,55638.145,30076.898,30075.139,30012.836,30015.424,29608.594,30441.4,30669.084,30197.156,0,0
