Ix,t,l,g.300.41N.2E,g.300.42N.2E,g.300.41N.3E,g.300.42N.3E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.2E,g.500.42N.2E,g.500.41N.3E,g.500.42N.3E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.2E,g.700.42N.2E,g.700.41N.3E,g.700.42N.3E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
1,1,60,93358.01,93117.95,93541.92,93291.91,93041.516,94954.44,90920.53,94132.375,56932.84,56768.895,57022.906,56845.312,56680.43,58114.176,55393.902,57466.426,30724.246,30659.459,30756.018,30677.053,30653.975,31561.293,29901.479,31130.246,-Inf,1
1,1,61,93400.73,93035.38,93560.31,93230.22,92746.29,95021.305,90973.79,94544.84,56863.51,56634.125,56961.613,56723.12,56423.34,58230.88,55666.383,57784.01,30771.955,30638.967,30839.02,30657.7,30483.21,31649.262,30140.443,31377.697,-Inf,1
1,1,62,93067.57,92675.98,93048.984,92657.016,91053.49,94611.516,93169.49,94651.555,56786.83,56511.133,56763.004,56482.76,55752.57,57979.54,56733.562,57867.254,30790.998,30669.291,30774.957,30617.441,30225.72,31533.041,30664.012,31225.77,-Inf,1
1,1,63,93379.27,93053.77,93305.32,93019.87,92010.81,94598.87,92819.86,94785.27,57117.395,56896.703,57079.918,56855.883,56048.34,58030.13,56759.66,57927.344,30920.88,30791.412,30884.14,30723.107,30321.14,31601.863,30766.885,31228.15,-Inf,1
1,1,64,93603.805,93311.836,93619.89,93305.9,92222.89,94711.33,91585.89,94235.25,57118.465,56930.965,57139.207,56941.805,56208.54,58029.996,55840.23,57520.76,30863.133,30738.113,30868.1,30745.875,30262.875,31531.902,30132.371,31073.637,-Inf,1
1,1,65,93136.16,92978.1,93310.69,93076.57,92548.58,94960.57,91304.08,93819.71,56717.1,56554.36,56839.29,56687.523,56398.58,58026.516,55675.082,57134.79,30578.217,30482.176,30668.152,30567.66,30457.441,31478.19,30013.975,30768.23,-Inf,1
1,1,66,92791.88,92244.92,92912.39,92398,91613.48,94978.01,91793.945,94188.89,56463.355,56210.145,56553.69,56276.66,55839.695,58019.156,56012.61,57438.188,30306.031,30229.55,30339.252,30216.51,30030.533,31391.566,30318.555,31020.027,-Inf,1
1,1,67,93143.24,92809.125,93163.74,92838.25,92136.11,94921.68,91466.73,93813.77,56832.195,56638.004,56879.438,56675.21,56217.24,58204.78,55835.68,57302.75,30789.549,30711.309,30794,30691.23,30393.068,31594.826,30227.791,31017.75,-Inf,1
1,1,68,93019.484,92693.03,93164.89,92839.4,92389.375,95240.47,90659.41,93863.01,56851.87,56647.773,56953.85,56759.793,56324.57,58220.035,55442.617,57253.367,30735.318,30594.568,30792.137,30641.14,30446.885,31647.607,30012.629,30959.07,-Inf,1
1,1,69,92621.19,92143.195,92753.76,92235.16,91130.12,95156.75,91766.164,93727.18,56333.805,56084.477,56402.996,56116.73,55625.297,58136.523,56092.773,57199.566,30436.846,30340.287,30454.336,30317.002,29968.336,31524.555,30438.088,30883.83,-Inf,1
1,1,70,92744.56,92375.97,92843.42,92481.52,91815.98,95009.04,92447.42,93477.55,56599.863,56372.348,56646.438,56402.19,55843.844,58036.688,56288.438,57201.574,30717.932,30592.914,30698.166,30549.137,30173.664,31457.18,30320.623,30820.39,-Inf,1
1,1,71,93545.37,93410.88,93525.25,93425.82,92747.25,95042.375,92503.75,94539.29,57085.676,56942.473,57105.48,56953.715,56518.895,58236.23,56183.11,57684.17,30945.201,30860.13,30958.139,30876.172,30547.17,31634.67,30146.135,31027.375,-Inf,1
1,1,72,93526.41,93275.24,93620.85,93320.266,92733.266,94857.31,90681.25,94689.3,56902.457,56669.457,56992.258,56812.523,56256.316,58245.062,55194.758,57713.48,30608.748,30444.71,30689.988,30529.473,30255.734,31655.473,29647.508,31169.988,-Inf,1
1,1,73,91806.98,91196.02,91892.414,91128.586,90326.445,94459.97,92564.48,94663.43,55767.023,55573.77,55762.207,55499.227,54911.3,57830.316,56212.953,57697.29,30065.41,29963.16,29982.928,29902.928,29441.143,31182.406,30336.148,31061.113,-Inf,1
1,1,74,92607.01,92310.06,92477.5,92176.914,91424.96,94335.06,92430.945,94788.914,56113.383,55910.36,56103.344,55899.387,55446.094,57688.055,55606.293,57755.1,30230.275,30119.848,30208.541,30085.281,29754.83,31101.27,29628.775,31046.521,-Inf,1
1,1,75,93749.21,93362.8,93732.164,93313.17,91347.76,95008.27,92132.27,94863.82,56894.293,56648.043,56879.04,56620.34,55664.508,58094.77,55876.77,57841.56,30572.422,30433.639,30559.38,30419.355,29988.93,31445.898,29883.367,31180.855,-Inf,1
1,1,76,93995.586,93670.664,93982.555,93682.16,92248.56,95297.56,92275.58,94620.71,57185.78,56913.03,57193.277,56904.598,56053.293,58468.027,56250.83,57924.535,30917.467,30750.637,30917.88,30742.668,30316.38,31826.959,30351.879,31386.184,-Inf,1
1,1,77,93904.01,93683.5,93954.01,93716.07,92862,95361.74,92430.76,94362.08,57470.31,57267.152,57505.906,57308.906,56598.66,58494.66,56171.332,57684.305,31141.32,30991.36,31164.605,31018.889,30588.877,31840.104,30157.83,31154.879,-Inf,1
1,1,78,93978.15,93741.55,94043.09,93775.65,93089.6,95113.07,91040.66,94259.58,57086.477,56865.254,57170.258,56965.227,56433.242,58332.457,55124.9,57295.258,30643.21,30510.016,30700.545,30576.768,30336.045,31632.29,29288.803,30825.771,-Inf,1
1,1,79,93198.23,92797.25,93423.72,93063.734,92350.68,95130.695,90966.125,94566.11,56494.402,56213.89,56674.94,56412.633,55956.934,58255.1,55214.434,57538.832,30240.729,30062.203,30332.525,30117.777,29887.197,31578.473,29512.76,30941.684,-Inf,1
